movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross
tt2404299,Lovesick,2014,85.0,"Comedy,Romance",5.2,2540,11657,"[10749, 35]",319389,en,Lovesick,4.775,2014-04-24,Lovesick,5.0,44,33,"Feb 18, 1983",Lovesick,"$10,100,000","$10,143,618","$10,143,618"
tt2404311,The Family,2013,111.0,"Comedy,Crime,Thriller",6.3,102576,3462,"[27, 53]",231384,en,The Family,2.0,2011-03-10,The Family,3.4,5,22,"Sep 13, 2013",The Family,"$30,000,000","$36,918,811","$51,078,541"
tt2404311,The Family,2013,111.0,"Comedy,Crime,Thriller",6.3,102576,7979,"[80, 35, 28]",112205,en,The Family,11.571,2013-09-13,The Family,6.2,1647,22,"Sep 13, 2013",The Family,"$30,000,000","$36,918,811","$51,078,541"
tt2404311,The Family,2013,111.0,"Comedy,Crime,Thriller",6.3,102576,22407,[18],417432,es,La Familia,1.141,2017-10-18,The Family,6.3,3,22,"Sep 13, 2013",The Family,"$30,000,000","$36,918,811","$51,078,541"
tt2404425,Woman in Gold,2015,109.0,"Biography,Drama,History",7.3,48501,14464,[18],304357,en,Woman in Gold,7.76,2015-04-10,Woman in Gold,7.4,787,81,"Apr 1, 2015",Woman in Gold,"$11,000,000","$33,307,793","$58,586,407"
tt2404435,The Magnificent Seven,2016,132.0,"Action,Adventure,Western",6.9,168514,17418,"[12, 28, 37]",333484,en,The Magnificent Seven,18.487,2016-09-23,The Magnificent Seven,6.2,3647,55,"Sep 23, 2016",The Magnificent Seven,"$90,000,000","$93,432,655","$162,525,156"
tt2404463,The Heat,2013,117.0,"Action,Comedy,Crime",6.6,153501,7906,"[28, 35, 80]",136795,en,The Heat,16.912,2013-06-28,The Heat,6.6,2441,35,"Jun 28, 2013",The Heat,"$43,000,000","$159,581,587","$229,727,774"
tt2405862,Closure,2013,76.0,"Adventure,Biography,Documentary",8.0,150,10162,[99],284568,en,Closure,0.6,2013-12-01,Closure,8.0,1,95,"Mar 17, 2015",Closure,"$100,000",$0,$0
tt2405862,Closure,2013,76.0,"Adventure,Biography,Documentary",8.0,150,10710,[53],206728,en,Closure,0.6,2013-01-18,Closure,5.0,2,95,"Mar 17, 2015",Closure,"$100,000",$0,$0
tt2406566,Atomic Blonde,2017,115.0,"Action,Mystery,Thriller",6.7,150407,20652,"[28, 9648, 53]",341013,en,Atomic Blonde,21.662,2017-07-28,Atomic Blonde,6.3,3645,94,"Jul 28, 2017",Atomic Blonde,"$30,000,000","$51,573,925","$98,345,423"
tt2407380,Test,2013,89.0,Drama,6.2,1373,8871,"[18, 10749]",226979,en,Test,2.13,2013-06-29,Test,7.2,37,89,"Jun 6, 2014",Test,"$250,000","$18,823","$18,823"
tt2407380,Test,2013,89.0,Drama,6.2,1373,12603,[18],278717,ru,Испытание,1.176,2014-10-10,Test,7.3,8,89,"Jun 6, 2014",Test,"$250,000","$18,823","$18,823"
tt2407380,Test,2013,89.0,Drama,6.2,1373,13403,"[18, 878]",385129,en,Test,0.6,2014-09-27,Test,8.0,1,89,"Jun 6, 2014",Test,"$250,000","$18,823","$18,823"
